"scharr_date","actdep","latemin","no","station","scharr","has_departed","has_arrived","actarr","actarr_date","schdep","distance","day","scharr_datetime","actarr_datetime","schdep_datetime","actdep_datetime","train_no"
"latemin","day","has_departed","schdep","actarr_date","distance","has_arrived","actarr","station","actdep","scharr_date","no","scharr","scharr_datetime","actarr_datetime","schdep_datetime","actdep_datetime","train_no"
0,0,TRUE,"00:10","13 Oct 2016",0,TRUE,"00:10","MRJ","00:10","13 Oct 2016",1,"00:10",2016-10-13 00:10:00,2016-10-13 00:10:00,2016-10-13 00:10:00,2016-10-13 00:10:00,"11047"
6,0,TRUE,"00:29","13 Oct 2016",16,TRUE,"00:33","SED","00:34","13 Oct 2016",2,"00:27",2016-10-13 00:27:00,2016-10-13 00:33:00,2016-10-13 00:29:00,2016-10-13 00:34:00,"11047"
10,0,TRUE,"00:38","13 Oct 2016",26,TRUE,"00:46","UGR","00:47","13 Oct 2016",3,"00:36",2016-10-13 00:36:00,2016-10-13 00:46:00,2016-10-13 00:38:00,2016-10-13 00:47:00,"11047"
11,0,TRUE,"00:48","13 Oct 2016",33,TRUE,"00:57","KUD","00:58","13 Oct 2016",4,"00:46",2016-10-13 00:46:00,2016-10-13 00:57:00,2016-10-13 00:48:00,2016-10-13 00:58:00,"11047"
10,0,TRUE,"00:56","13 Oct 2016",39,TRUE,"01:04","CNC","01:05","13 Oct 2016",5,"00:54",2016-10-13 00:54:00,2016-10-13 01:04:00,2016-10-13 00:56:00,2016-10-13 01:05:00,"11047"
7,0,TRUE,"01:08","13 Oct 2016",50,TRUE,"01:13","RBG","01:14","13 Oct 2016",6,"01:06",2016-10-13 01:06:00,2016-10-13 01:13:00,2016-10-13 01:08:00,2016-10-13 01:14:00,"11047"
14,0,TRUE,"01:35","13 Oct 2016",79,TRUE,"01:47","GPB","01:52","13 Oct 2016",7,"01:33",2016-10-13 01:33:00,2016-10-13 01:47:00,2016-10-13 01:35:00,2016-10-13 01:52:00,"11047"
19,0,TRUE,"02:32","13 Oct 2016",137,TRUE,"02:47","BGM","02:50","13 Oct 2016",8,"02:28",2016-10-13 02:28:00,2016-10-13 02:47:00,2016-10-13 02:32:00,2016-10-13 02:50:00,"11047"
2,0,TRUE,"03:45","13 Oct 2016",188,TRUE,"03:42","LD","03:45","13 Oct 2016",9,"03:40",2016-10-13 03:40:00,2016-10-13 03:42:00,2016-10-13 03:45:00,2016-10-13 03:45:00,"11047"
10,0,TRUE,"04:20","13 Oct 2016",221,TRUE,"04:25","LWR","04:27","13 Oct 2016",10,"04:15",2016-10-13 04:15:00,2016-10-13 04:25:00,2016-10-13 04:20:00,2016-10-13 04:27:00,"11047"
-21,0,TRUE,"05:25","13 Oct 2016",258,TRUE,"05:02","DWR","05:28","13 Oct 2016",11,"05:23",2016-10-13 05:23:00,2016-10-13 05:02:00,2016-10-13 05:25:00,2016-10-13 05:28:00,"11047"
-20,0,FALSE,"06:25","13 Oct 2016",278,TRUE,"06:05","UBL","06:05","13 Oct 2016",12,"06:25",2016-10-13 06:25:00,2016-10-13 06:05:00,2016-10-13 06:25:00,2016-10-13 06:05:00,"11047"
"latemin","day","has_departed","schdep","actarr_date","distance","has_arrived","actarr","station","actdep","scharr_date","no","scharr","scharr_datetime","actarr_datetime","schdep_datetime","actdep_datetime","train_no"
0,0,TRUE,"08:30","12 Oct 2016",0,TRUE,"08:40","ASR","08:40","12 Oct 2016",1,"08:30",2016-10-12 08:30:00,2016-10-12 08:40:00,2016-10-12 08:30:00,2016-10-12 08:40:00,"11058"
25,0,TRUE,"08:47","12 Oct 2016",18,TRUE,"09:10","JNL","09:12","12 Oct 2016",2,"08:45",2016-10-12 08:45:00,2016-10-12 09:10:00,2016-10-12 08:47:00,2016-10-12 09:12:00,"11058"
22,0,TRUE,"09:10","12 Oct 2016",42,TRUE,"09:30","BEAS","09:32","12 Oct 2016",3,"09:08",2016-10-12 09:08:00,2016-10-12 09:30:00,2016-10-12 09:10:00,2016-10-12 09:32:00,"11058"
19,0,TRUE,"09:33","12 Oct 2016",63,TRUE,"09:50","KRE","09:52","12 Oct 2016",4,"09:31",2016-10-12 09:31:00,2016-10-12 09:50:00,2016-10-12 09:33:00,2016-10-12 09:52:00,"11058"
12,0,TRUE,"10:05","12 Oct 2016",78,TRUE,"10:07","JUC","10:17","12 Oct 2016",5,"09:55",2016-10-12 09:55:00,2016-10-12 10:07:00,2016-10-12 10:05:00,2016-10-12 10:17:00,"11058"
11,0,TRUE,"10:15","12 Oct 2016",83,TRUE,"10:24","JRC","10:26","12 Oct 2016",6,"10:13",2016-10-12 10:13:00,2016-10-12 10:24:00,2016-10-12 10:15:00,2016-10-12 10:26:00,"11058"
14,0,TRUE,"10:29","12 Oct 2016",99,TRUE,"10:41","PGW","10:43","12 Oct 2016",7,"10:27",2016-10-12 10:27:00,2016-10-12 10:41:00,2016-10-12 10:29:00,2016-10-12 10:43:00,"11058"
16,0,TRUE,"10:42","12 Oct 2016",109,TRUE,"10:56","GRY","10:58","12 Oct 2016",8,"10:40",2016-10-12 10:40:00,2016-10-12 10:56:00,2016-10-12 10:42:00,2016-10-12 10:58:00,"11058"
14,0,TRUE,"10:56","12 Oct 2016",122,TRUE,"11:08","PHR","11:10","12 Oct 2016",9,"10:54",2016-10-12 10:54:00,2016-10-12 11:08:00,2016-10-12 10:56:00,2016-10-12 11:10:00,"11058"
0,0,TRUE,"11:45","12 Oct 2016",135,TRUE,"11:30","LDH","11:45","12 Oct 2016",10,"11:30",2016-10-12 11:30:00,2016-10-12 11:30:00,2016-10-12 11:45:00,2016-10-12 11:45:00,"11058"
15,0,TRUE,"12:25","12 Oct 2016",161,TRUE,"12:38","AHH","12:40","12 Oct 2016",11,"12:23",2016-10-12 12:23:00,2016-10-12 12:38:00,2016-10-12 12:25:00,2016-10-12 12:40:00,"11058"
15,0,TRUE,"12:42","12 Oct 2016",180,TRUE,"12:55","MET","12:57","12 Oct 2016",12,"12:40",2016-10-12 12:40:00,2016-10-12 12:55:00,2016-10-12 12:42:00,2016-10-12 12:57:00,"11058"
14,0,TRUE,"13:05","12 Oct 2016",197,TRUE,"13:15","DUI","13:20","12 Oct 2016",13,"13:01",2016-10-12 13:01:00,2016-10-12 13:15:00,2016-10-12 13:05:00,2016-10-12 13:20:00,"11058"
36,0,TRUE,"13:28","12 Oct 2016",224,TRUE,"14:02","NBA","14:04","12 Oct 2016",14,"13:26",2016-10-12 13:26:00,2016-10-12 14:02:00,2016-10-12 13:28:00,2016-10-12 14:04:00,"11058"
46,0,TRUE,"13:53","12 Oct 2016",250,TRUE,"14:36","PTA","14:48","12 Oct 2016",15,"13:50",2016-10-12 13:50:00,2016-10-12 14:36:00,2016-10-12 13:53:00,2016-10-12 14:48:00,"11058"
37,0,TRUE,"14:35","12 Oct 2016",275,TRUE,"15:10","RPJ","15:27","12 Oct 2016",16,"14:33",2016-10-12 14:33:00,2016-10-12 15:10:00,2016-10-12 14:35:00,2016-10-12 15:27:00,"11058"
55,0,TRUE,"14:58","12 Oct 2016",295,TRUE,"15:51","UBC","15:53","12 Oct 2016",17,"14:56",2016-10-12 14:56:00,2016-10-12 15:51:00,2016-10-12 14:58:00,2016-10-12 15:53:00,"11058"
69,0,TRUE,"15:50","12 Oct 2016",303,TRUE,"16:29","UMB","16:50","12 Oct 2016",18,"15:20",2016-10-12 15:20:00,2016-10-12 16:29:00,2016-10-12 15:50:00,2016-10-12 16:50:00,"11058"
76,0,TRUE,"16:09","12 Oct 2016",322,TRUE,"17:23","SHDM","17:25","12 Oct 2016",19,"16:07",2016-10-12 16:07:00,2016-10-12 17:23:00,2016-10-12 16:09:00,2016-10-12 17:25:00,"11058"
74,0,TRUE,"16:32","12 Oct 2016",344,TRUE,"17:44","KKDE","17:46","12 Oct 2016",20,"16:30",2016-10-12 16:30:00,2016-10-12 17:44:00,2016-10-12 16:32:00,2016-10-12 17:46:00,"11058"
76,0,TRUE,"16:49","12 Oct 2016",361,TRUE,"18:03","NLKR","18:05","12 Oct 2016",21,"16:47",2016-10-12 16:47:00,2016-10-12 18:03:00,2016-10-12 16:49:00,2016-10-12 18:05:00,"11058"
75,0,TRUE,"16:58","12 Oct 2016",365,TRUE,"18:11","TRR","18:13","12 Oct 2016",22,"16:56",2016-10-12 16:56:00,2016-10-12 18:11:00,2016-10-12 16:58:00,2016-10-12 18:13:00,"11058"
72,0,TRUE,"17:15","12 Oct 2016",378,TRUE,"18:25","KUN","18:27","12 Oct 2016",23,"17:13",2016-10-12 17:13:00,2016-10-12 18:25:00,2016-10-12 17:15:00,2016-10-12 18:27:00,"11058"
71,0,TRUE,"17:33","12 Oct 2016",395,TRUE,"18:42","GRA","18:44","12 Oct 2016",24,"17:31",2016-10-12 17:31:00,2016-10-12 18:42:00,2016-10-12 17:33:00,2016-10-12 18:44:00,"11058"
69,0,TRUE,"17:53","12 Oct 2016",412,TRUE,"19:00","PNP","19:02","12 Oct 2016",25,"17:51",2016-10-12 17:51:00,2016-10-12 19:00:00,2016-10-12 17:53:00,2016-10-12 19:02:00,"11058"
73,0,TRUE,"18:08","12 Oct 2016",429,TRUE,"19:19","SMK","19:21","12 Oct 2016",26,"18:06",2016-10-12 18:06:00,2016-10-12 19:19:00,2016-10-12 18:08:00,2016-10-12 19:21:00,"11058"
72,0,TRUE,"18:23","12 Oct 2016",441,TRUE,"19:33","GNU","19:35","12 Oct 2016",27,"18:21",2016-10-12 18:21:00,2016-10-12 19:33:00,2016-10-12 18:23:00,2016-10-12 19:35:00,"11058"
70,0,TRUE,"18:41","12 Oct 2016",457,TRUE,"19:49","SNP","19:51","12 Oct 2016",28,"18:39",2016-10-12 18:39:00,2016-10-12 19:49:00,2016-10-12 18:41:00,2016-10-12 19:51:00,"11058"
69,0,TRUE,"18:54","12 Oct 2016",467,TRUE,"20:01","RDDE","20:03","12 Oct 2016",29,"18:52",2016-10-12 18:52:00,2016-10-12 20:01:00,2016-10-12 18:54:00,2016-10-12 20:03:00,"11058"
67,0,TRUE,"19:05","12 Oct 2016",474,TRUE,"20:10","NUR","20:12","12 Oct 2016",30,"19:03",2016-10-12 19:03:00,2016-10-12 20:10:00,2016-10-12 19:05:00,2016-10-12 20:12:00,"11058"
72,0,TRUE,"19:25","12 Oct 2016",491,TRUE,"20:35","ANDI","20:36","12 Oct 2016",31,"19:23",2016-10-12 19:23:00,2016-10-12 20:35:00,2016-10-12 19:25:00,2016-10-12 20:36:00,"11058"
66,0,TRUE,"19:49","12 Oct 2016",497,TRUE,"20:53","SZM","20:55","12 Oct 2016",32,"19:47",2016-10-12 19:47:00,2016-10-12 20:53:00,2016-10-12 19:49:00,2016-10-12 20:55:00,"11058"
60,0,TRUE,"20:50","12 Oct 2016",501,TRUE,"21:20","NDLS","21:49","12 Oct 2016",33,"20:20",2016-10-12 20:20:00,2016-10-12 21:20:00,2016-10-12 20:50:00,2016-10-12 21:49:00,"11058"
66,0,TRUE,"21:05","12 Oct 2016",508,TRUE,"22:09","NZM","22:11","12 Oct 2016",34,"21:03",2016-10-12 21:03:00,2016-10-12 22:09:00,2016-10-12 21:05:00,2016-10-12 22:11:00,"11058"
64,0,TRUE,"21:26","12 Oct 2016",529,TRUE,"22:28","FDB","22:30","12 Oct 2016",35,"21:24",2016-10-12 21:24:00,2016-10-12 22:28:00,2016-10-12 21:26:00,2016-10-12 22:30:00,"11058"
62,0,TRUE,"21:45","12 Oct 2016",537,TRUE,"22:45","BVH","22:47","12 Oct 2016",36,"21:43",2016-10-12 21:43:00,2016-10-12 22:45:00,2016-10-12 21:45:00,2016-10-12 22:47:00,"11058"
60,0,TRUE,"22:32","12 Oct 2016",558,TRUE,"23:30","PWL","23:32","12 Oct 2016",37,"22:30",2016-10-12 22:30:00,2016-10-12 23:30:00,2016-10-12 22:32:00,2016-10-12 23:32:00,"11058"
71,1,TRUE,"23:02","13 Oct 2016",601,TRUE,"00:11","KSV","00:12","12 Oct 2016",38,"23:00",2016-10-12 23:00:00,2016-10-13 00:11:00,2016-10-12 23:02:00,2016-10-13 00:12:00,"11058"
70,1,TRUE,"23:40","13 Oct 2016",642,TRUE,"00:45","MTJ","00:50","12 Oct 2016",39,"23:35",2016-10-12 23:35:00,2016-10-13 00:45:00,2016-10-12 23:40:00,2016-10-13 00:50:00,"11058"
64,1,TRUE,"00:28","13 Oct 2016",692,TRUE,"01:30","RKM","01:31","13 Oct 2016",40,"00:26",2016-10-13 00:26:00,2016-10-13 01:30:00,2016-10-13 00:28:00,2016-10-13 01:31:00,"11058"
62,1,TRUE,"00:48","13 Oct 2016",696,TRUE,"01:42","AGC","01:50","13 Oct 2016",41,"00:40",2016-10-13 00:40:00,2016-10-13 01:42:00,2016-10-13 00:48:00,2016-10-13 01:50:00,"11058"
60,1,TRUE,"01:45","13 Oct 2016",748,TRUE,"02:43","DHO","02:45","13 Oct 2016",42,"01:43",2016-10-13 01:43:00,2016-10-13 02:43:00,2016-10-13 01:45:00,2016-10-13 02:45:00,"11058"
63,1,TRUE,"02:10","13 Oct 2016",776,TRUE,"03:11","MRA","03:13","13 Oct 2016",43,"02:08",2016-10-13 02:08:00,2016-10-13 03:11:00,2016-10-13 02:10:00,2016-10-13 03:13:00,"11058"
68,1,TRUE,"03:00","13 Oct 2016",814,TRUE,"04:03","GWL","04:08","13 Oct 2016",44,"02:55",2016-10-13 02:55:00,2016-10-13 04:03:00,2016-10-13 03:00:00,2016-10-13 04:08:00,"11058"
66,1,TRUE,"03:37","13 Oct 2016",856,TRUE,"04:41","DBA","04:43","13 Oct 2016",45,"03:35",2016-10-13 03:35:00,2016-10-13 04:41:00,2016-10-13 03:37:00,2016-10-13 04:43:00,"11058"
62,1,TRUE,"04:00","13 Oct 2016",875,TRUE,"05:00","SOR","05:02","13 Oct 2016",46,"03:58",2016-10-13 03:58:00,2016-10-13 05:00:00,2016-10-13 04:00:00,2016-10-13 05:02:00,"11058"
62,1,TRUE,"04:17","13 Oct 2016",886,TRUE,"05:17","DAA","05:19","13 Oct 2016",47,"04:15",2016-10-13 04:15:00,2016-10-13 05:17:00,2016-10-13 04:17:00,2016-10-13 05:19:00,"11058"
67,1,TRUE,"05:00","13 Oct 2016",911,TRUE,"05:57","JHS","06:07","13 Oct 2016",48,"04:50",2016-10-13 04:50:00,2016-10-13 05:57:00,2016-10-13 05:00:00,2016-10-13 06:07:00,"11058"
73,1,TRUE,"05:27","13 Oct 2016",935,TRUE,"06:38","BAB","06:40","13 Oct 2016",49,"05:25",2016-10-13 05:25:00,2016-10-13 06:38:00,2016-10-13 05:27:00,2016-10-13 06:40:00,"11058"
75,1,TRUE,"05:43","13 Oct 2016",947,TRUE,"06:56","BZY","06:58","13 Oct 2016",50,"05:41",2016-10-13 05:41:00,2016-10-13 06:56:00,2016-10-13 05:43:00,2016-10-13 06:58:00,"11058"
76,1,TRUE,"06:00","13 Oct 2016",960,TRUE,"07:14","TBT","07:16","13 Oct 2016",51,"05:58",2016-10-13 05:58:00,2016-10-13 07:14:00,2016-10-13 06:00:00,2016-10-13 07:16:00,"11058"
58,1,TRUE,"06:52","13 Oct 2016",1000,TRUE,"07:48","LAR","07:50","13 Oct 2016",52,"06:50",2016-10-13 06:50:00,2016-10-13 07:48:00,2016-10-13 06:52:00,2016-10-13 07:50:00,"11058"
65,1,TRUE,"07:02","13 Oct 2016",1016,TRUE,"08:05","JLN","08:07","13 Oct 2016",53,"07:00",2016-10-13 07:00:00,2016-10-13 08:05:00,2016-10-13 07:02:00,2016-10-13 08:07:00,"11058"
69,1,TRUE,"07:12","13 Oct 2016",1028,TRUE,"08:19","DUA","08:21","13 Oct 2016",54,"07:10",2016-10-13 07:10:00,2016-10-13 08:19:00,2016-10-13 07:12:00,2016-10-13 08:21:00,"11058"
10,1,TRUE,"09:00","13 Oct 2016",1062,TRUE,"09:05","BINA","09:10","13 Oct 2016",55,"08:55",2016-10-13 08:55:00,2016-10-13 09:05:00,2016-10-13 09:00:00,2016-10-13 09:10:00,"11058"
15,1,TRUE,"09:17","13 Oct 2016",1080,TRUE,"09:30","MABA","09:32","13 Oct 2016",56,"09:15",2016-10-13 09:15:00,2016-10-13 09:30:00,2016-10-13 09:17:00,2016-10-13 09:32:00,"11058"
13,1,TRUE,"09:41","13 Oct 2016",1108,TRUE,"09:52","BAQ","09:53","13 Oct 2016",57,"09:39",2016-10-13 09:39:00,2016-10-13 09:52:00,2016-10-13 09:41:00,2016-10-13 09:53:00,"11058"
16,1,TRUE,"09:59","13 Oct 2016",1126,TRUE,"10:13","GLG","10:15","13 Oct 2016",58,"09:57",2016-10-13 09:57:00,2016-10-13 10:13:00,2016-10-13 09:59:00,2016-10-13 10:15:00,"11058"
16,1,TRUE,"10:18","13 Oct 2016",1147,TRUE,"10:32","BHS","10:34","13 Oct 2016",59,"10:16",2016-10-13 10:16:00,2016-10-13 10:32:00,2016-10-13 10:18:00,2016-10-13 10:34:00,"11058"
17,1,TRUE,"10:30","13 Oct 2016",1157,TRUE,"10:45","SCI","10:47","13 Oct 2016",60,"10:28",2016-10-13 10:28:00,2016-10-13 10:45:00,2016-10-13 10:30:00,2016-10-13 10:47:00,"11058"
14,1,TRUE,"11:15","13 Oct 2016",1201,TRUE,"11:24","BPL","11:30","13 Oct 2016",61,"11:10",2016-10-13 11:10:00,2016-10-13 11:24:00,2016-10-13 11:15:00,2016-10-13 11:30:00,"11058"
21,1,TRUE,"11:27","13 Oct 2016",1207,TRUE,"11:46","HBJ","11:48","13 Oct 2016",62,"11:25",2016-10-13 11:25:00,2016-10-13 11:46:00,2016-10-13 11:27:00,2016-10-13 11:48:00,"11058"
25,1,TRUE,"11:44","13 Oct 2016",1223,TRUE,"12:07","MDDP","12:09","13 Oct 2016",63,"11:42",2016-10-13 11:42:00,2016-10-13 12:07:00,2016-10-13 11:44:00,2016-10-13 12:09:00,"11058"
26,1,TRUE,"11:59","13 Oct 2016",1237,TRUE,"12:23","ODG","12:25","13 Oct 2016",64,"11:57",2016-10-13 11:57:00,2016-10-13 12:23:00,2016-10-13 11:59:00,2016-10-13 12:25:00,"11058"
27,1,TRUE,"12:35","13 Oct 2016",1268,TRUE,"13:00","BNI","13:02","13 Oct 2016",65,"12:33",2016-10-13 12:33:00,2016-10-13 13:00:00,2016-10-13 12:35:00,2016-10-13 13:02:00,"11058"
28,1,TRUE,"12:46","13 Oct 2016",1275,TRUE,"13:12","HBD","13:14","13 Oct 2016",66,"12:44",2016-10-13 12:44:00,2016-10-13 13:12:00,2016-10-13 12:46:00,2016-10-13 13:14:00,"11058"
18,1,TRUE,"13:25","13 Oct 2016",1292,TRUE,"13:38","ET","13:48","13 Oct 2016",67,"13:20",2016-10-13 13:20:00,2016-10-13 13:38:00,2016-10-13 13:25:00,2016-10-13 13:48:00,"11058"
